,Date,DosesDaily,DosesDailyCumulative,DoseDailtFirst,DoseDailyFirstCumulative,DoseDialyPopPercent,VacSDaily,VacSCumulative,VacSPopPercent,Population,ZipCoords,Row_ID,Current Population:,2010 Population:,Households per ZIP Code:,Average House Value:,Avg. Income Per Household:,Persons Per Household:,White Proportion,White Population:,Black Proportion,Black Population:,Hispanic Proportion,Hispanic Population:,Asian Population:,American Indian Population:,Hawaiian Population:,Other Population:,Male Population:,Female Population:,Median Age:,Male Median Age:,Female Median Age:
69,2021-02-01,13,285,12,225,0.19699999999999998,1,60,0.052000000000000005,1145,POINT (-87.628309 41.883136),60602-20210201,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
70,2021-02-02,13,298,8,233,0.203,5,65,0.057,1145,POINT (-87.628309 41.883136),60602-20210202,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
71,2021-02-03,20,318,16,249,0.217,4,69,0.06,1145,POINT (-87.628309 41.883136),60602-20210203,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
72,2021-02-04,9,327,7,256,0.22399999999999998,2,71,0.062,1145,POINT (-87.628309 41.883136),60602-20210204,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
73,2020-12-16,0,0,0,0,0.0,0,0,0.0,1145,POINT (-87.628309 41.883136),60602-20201216,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
74,2020-12-30,5,44,5,44,0.038,0,0,0.0,1145,POINT (-87.628309 41.883136),60602-20201230,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
75,2021-01-04,3,50,3,50,0.044000000000000004,0,0,0.0,1145,POINT (-87.628309 41.883136),60602-20210104,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
76,2020-12-25,0,30,0,30,0.026000000000000002,0,0,0.0,1145,POINT (-87.628309 41.883136),60602-20201225,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
77,2021-01-09,4,77,0,63,0.055,4,14,0.012,1145,POINT (-87.628309 41.883136),60602-20210109,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
78,2020-12-21,5,20,5,20,0.017,0,0,0.0,1145,POINT (-87.628309 41.883136),60602-20201221,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
79,2021-01-05,8,58,7,57,0.05,1,1,0.001,1145,POINT (-87.628309 41.883136),60602-20210105,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
80,2020-12-31,0,44,0,44,0.038,0,0,0.0,1145,POINT (-87.628309 41.883136),60602-20201231,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
81,2021-01-01,0,44,0,44,0.038,0,0,0.0,1145,POINT (-87.628309 41.883136),60602-20210101,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
82,2020-12-17,1,1,1,1,0.001,0,0,0.0,1145,POINT (-87.628309 41.883136),60602-20201217,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
83,2020-12-24,2,30,2,30,0.026000000000000002,0,0,0.0,1145,POINT (-87.628309 41.883136),60602-20201224,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
84,2021-01-08,10,73,3,63,0.055,7,10,0.009000000000000001,1145,POINT (-87.628309 41.883136),60602-20210108,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
85,2021-01-13,3,96,2,68,0.059000000000000004,1,28,0.024,1145,POINT (-87.628309 41.883136),60602-20210113,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
86,2021-01-12,9,93,2,66,0.057999999999999996,7,27,0.024,1145,POINT (-87.628309 41.883136),60602-20210112,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
87,2020-12-20,2,15,2,15,0.013000000000000001,0,0,0.0,1145,POINT (-87.628309 41.883136),60602-20201220,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
88,2021-01-02,0,44,0,44,0.038,0,0,0.0,1145,POINT (-87.628309 41.883136),60602-20210102,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
89,2020-12-28,4,34,4,34,0.03,0,0,0.0,1145,POINT (-87.628309 41.883136),60602-20201228,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
90,2020-12-18,7,8,7,8,0.006999999999999999,0,0,0.0,1145,POINT (-87.628309 41.883136),60602-20201218,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
91,2020-12-23,4,28,4,28,0.024,0,0,0.0,1145,POINT (-87.628309 41.883136),60602-20201223,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
92,2021-01-14,7,103,5,73,0.064,2,30,0.026000000000000002,1145,POINT (-87.628309 41.883136),60602-20210114,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
93,2020-12-27,0,30,0,30,0.026000000000000002,0,0,0.0,1145,POINT (-87.628309 41.883136),60602-20201227,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
94,2021-01-07,2,63,0,60,0.052000000000000005,2,3,0.003,1145,POINT (-87.628309 41.883136),60602-20210107,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
