Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Population,ZIP Code Location,Row_ID
60624,01/17/2021,4,429,4,376,0.011,0,53,0.002,34892,POINT (-87.722735 41.879417),60624-20210117
60626,12/30/2020,292,709,292,709,0.014,0,0,0,50544,POINT (-87.669834 42.009469),60626-20201230
60626,12/31/2020,32,741,32,741,0.015,0,0,0,50544,POINT (-87.669834 42.009469),60626-20201231
60626,01/01/2021,0,741,0,741,0.015,0,0,0,50544,POINT (-87.669834 42.009469),60626-20210101
60626,01/02/2021,13,754,13,754,0.015,0,0,0,50544,POINT (-87.669834 42.009469),60626-20210102
60626,01/03/2021,19,773,18,772,0.015,1,1,0,50544,POINT (-87.669834 42.009469),60626-20210103
60626,01/04/2021,73,846,72,844,0.017,1,2,0,50544,POINT (-87.669834 42.009469),60626-20210104
60626,01/05/2021,148,994,147,991,0.02,1,3,0,50544,POINT (-87.669834 42.009469),60626-20210105
60630,01/07/2021,115,1100,56,1017,0.018,59,83,0.001,56433,POINT (-87.759611 41.971261),60630-20210107
60630,01/08/2021,147,1247,61,1078,0.019,86,169,0.003,56433,POINT (-87.759611 41.971261),60630-20210108
60630,01/09/2021,75,1322,21,1099,0.019,54,223,0.004,56433,POINT (-87.759611 41.971261),60630-20210109
60630,01/10/2021,17,1339,7,1106,0.02,10,233,0.004,56433,POINT (-87.759611 41.971261),60630-20210110
60630,01/11/2021,113,1452,34,1140,0.02,79,312,0.006,56433,POINT (-87.759611 41.971261),60630-20210111
60630,01/12/2021,103,1555,71,1211,0.021,32,344,0.006,56433,POINT (-87.759611 41.971261),60630-20210112
60630,01/13/2021,113,1668,71,1282,0.023,42,386,0.007,56433,POINT (-87.759611 41.971261),60630-20210113
60630,01/14/2021,91,1759,75,1357,0.024,16,402,0.007,56433,POINT (-87.759611 41.971261),60630-20210114
60630,01/15/2021,67,1826,61,1418,0.025,6,408,0.007,56433,POINT (-87.759611 41.971261),60630-20210115
60631,01/02/2021,133,603,133,603,0.02,0,0,0,29529,POINT (-87.813371 41.995019),60631-20210102
60631,01/03/2021,9,612,9,612,0.021,0,0,0,29529,POINT (-87.813371 41.995019),60631-20210103
60631,01/04/2021,58,670,57,669,0.023,1,1,0,29529,POINT (-87.813371 41.995019),60631-20210104
60631,01/05/2021,49,719,48,717,0.024,1,2,0,29529,POINT (-87.813371 41.995019),60631-20210105
60634,12/15/2020,0,0,0,0,0,0,0,0,75082,POINT (-87.797373 41.944967),60634-20201215
60634,12/16/2020,1,1,1,1,0,0,0,0,75082,POINT (-87.797373 41.944967),60634-20201216
60634,12/17/2020,29,30,29,30,0,0,0,0,75082,POINT (-87.797373 41.944967),60634-20201217
60634,12/18/2020,105,135,105,135,0.002,0,0,0,75082,POINT (-87.797373 41.944967),60634-20201218
